"X","LLM","p0","p1","p2","p3","p4","p5","treatment","temperature","ci_lower_p0","ci_upper_p0","ci_lower_p1","ci_upper_p1","ci_lower_p2","ci_upper_p2","ci_lower_p3","ci_upper_p3","ci_lower_p4","ci_upper_p4","ci_lower_p5","ci_upper_p5"
1,"chatgpt4",0.01249788515572,0.968750013526017,0.0187502665999019,6.11572787014211e-07,6.11572787014211e-07,6.11572787014211e-07,"human decision maker_human decision maker_0.25",0.25,0,0.0374959906943214,0.936250474788933,1,1.49329022924123e-40,0.0474969391231729,1.49329022924123e-40,2.51159331943779e-06,1.49329022924123e-40,2.51159331943779e-06,1.49329022924123e-40,2.51159332225374e-06
2,"chatgpt4",0.0499996875292152,0.904997549980799,0.0449994907567786,1.09057773565052e-06,1.09057773565052e-06,1.09057773565052e-06,"human decision maker_human decision maker_0.5",0.5,0.0124943773713464,0.087535841016047,0.853684861093691,0.948750148069435,0.0137516970281574,0.0850001932847096,2.55330969148646e-07,3.59846620809972e-06,2.55314142307219e-07,3.59846620809972e-06,2.55314142307219e-07,3.59846620809972e-06
3,"chatgpt4",0.199345278465911,0.75006705841886,0.0500639638386064,0.000260935193286543,1.82994639653876e-06,0.000260934136939126,"human decision maker_human decision maker_0.75",0.75,0.114200544632928,0.266640350362823,0.674997440966398,0.826707887260902,0.00981464797437464,0.0962984992317218,1.34906630186395e-06,0.0266909816071948,7.45025033210551e-07,8.7110449299628e-06,1.44070085778188e-06,0.0257154675388097
1,"chatgpto1",0.0749909142426599,0.522501106436417,0.402501349395742,2.20997506027962e-06,2.20997506027962e-06,2.20997506027962e-06,"human decision maker_human decision maker_1",1,0.0249975310235014,0.124986701386521,0.438751560326076,0.60630776874612,0.32214582934178,0.484118400515758,4.18974742393285e-07,4.03822887258148e-06,4.18975718184371e-07,4.03822887258148e-06,4.18975054651645e-07,4.03822887258148e-06
1,"claude2",0.0142841768128824,0.138578372141008,0.138566809124458,4.9190956994477e-06,0.708560803729453,4.9190964996794e-06,"human decision maker__0.25",0.25,2.40217197933768e-06,0.0428441480959856,0.0785738613338063,0.195789812735013,0.0857312871768538,0.198572922822314,2.85329080846245e-08,7.53609227896469e-06,0.629998443043877,0.780001369873607,2.85329026770398e-08,7.53608531984576e-06
2,"claude2",0.149996304266918,0.234977310041989,0.175001598942442,0.00499465152387158,0.435020371873217,9.76335156334438e-06,"human decision maker__0.5",0.5,0.0667125613663835,0.216663391965449,0.164313802203565,0.310009018285283,0.111462693893439,0.241440905131541,1.54839872618469e-06,0.0316679385641511,0.349878747019609,0.528213484368352,1.4568166809723e-06,1.40806092394663e-05
3,"claude2",0.257072582081425,0.244426109356557,0.184372547298763,3.81070704044463e-06,0.314121139867411,3.81068880246687e-06,"human decision maker__0.75",0.75,0.171383012753141,0.35712501215605,0.167142965201422,0.315782138824331,0.117160565235284,0.255829008013168,1.06542627076143e-06,8.17132538537311e-06,0.232848057158339,0.398583130961216,1.06542296558734e-06,8.17133326575895e-06
1,"claude3",0.999999997530852,2.80939703881994e-13,2.75543373065561e-10,2.80939703881994e-13,2.80939703881994e-13,2.19276143952084e-09,"human decision maker__0.25",0.25,0.954774270855319,0.999999999997145,8.4527151377687e-15,2.74559865669169e-06,3.32587174116394e-15,0.0450575261201352,8.45271513776865e-15,2.74559865669169e-06,8.45271513776865e-15,2.74559865669169e-06,1.40508411342868e-12,2.42589508458989e-05
2,"claude3",0.999999999985093,7.65874231250131e-15,2.56822576876416e-14,7.65874231250131e-15,7.65874231250131e-15,1.48582423512498e-11,"human decision maker__0.5",0.5,0.999985976395617,1,2.07489243346119e-30,4.6040266951207e-08,6.44092050890918e-23,1.3178575055391e-05,2.07489243346119e-30,4.6040266951207e-08,2.07489243346119e-30,4.6040266951207e-08,5.4564064709276e-22,2.76566659988717e-06
3,"claude3",0.999999997530849,2.80940100026009e-13,2.75543555427999e-10,2.80940127107009e-13,2.80940100026009e-13,2.19276447137119e-09,"human decision maker__0.75",0.75,0.999242002204,0.999999999997171,8.40593849850485e-15,2.81777563214779e-06,2.09924207874988e-15,0.000717740398853828,8.40593849850485e-15,2.81777563214778e-06,8.40593849850485e-15,2.81777563214778e-06,1.13073572649994e-12,1.96532299239556e-05
1,"gemini1",0.999999755936193,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127657856281e-08,"human decision maker_human decision maker_0.5",0.5,0.999999755936193,0.999999755936193,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127657856281e-08,4.88127657856281e-08
2,"gemini1",0.999999755936193,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127657856281e-08,"human decision maker_human decision maker_0.25",0.25,0.999999755936193,0.999999755936193,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127657856281e-08,4.88127657856281e-08
3,"gemini1",0.999999755936193,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127657856281e-08,"human decision maker_human decision maker_0.75",0.75,0.999999755936193,0.999999755936193,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127602362595e-08,4.88127657856281e-08,4.88127657856281e-08
1,"gemini2",0.0428485822601679,0.075721070358963,0.56573348826975,4.06664129588655e-06,4.06664129588655e-06,0.315688725828527,"human decision maker_human decision maker_0.5",0.5,0.0134254961862496,0.0857086672734465,0.034272101139016,0.124296145257217,0.487144858807757,0.64857031879402,6.04684949196097e-07,7.95706826350137e-06,6.04684949196097e-07,7.95706768133605e-06,0.233960148253768,0.388573914530731
2,"gemini2",0.214253719485783,0.0185740686362055,0.738580550193991,7.02513397770964e-06,7.02513282083993e-06,0.0285776114172221,"human decision maker_human decision maker_0.25",0.25,0.128580173239338,0.288295201301923,3.54937153884462e-06,0.0556717544719004,0.661429745465466,0.814326377165157,8.00225642825562e-07,7.44262460162168e-06,8.0007542387181e-07,7.44260655911982e-06,1.15184242807591e-05,0.0700778591215862
3,"gemini2",1.16592217058731e-06,0.0799986183079809,0.920000186448013,9.77394525497392e-09,9.77394525497392e-09,9.77394525497394e-09,"human decision maker_human decision maker_0.75",0.75,5.60379175734704e-07,7.25324726927323e-06,0.0399996786338581,0.119999393415439,0.879999429492078,0.95999849809385,2.79085207029193e-09,8.58888685216616e-08,2.79085207029192e-09,8.58888685216616e-08,2.79085207029192e-09,8.58888685216616e-08
